Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF ±10%","C0402",28.020000,1.650000,-90.000000,top
"C2","10µF ±10%","C0805",-11.760000,7.760000,90.000000,top
"C3","100nF ±10%","C0402",-10.330000,8.340000,90.000000,top
"C4","1µF ±10%","C0402",-11.750000,-0.530000,180.000000,top
"R1","10kΩ ±1%","R0402",27.570000,0.000000,0.000000,top
"R2","10kΩ ±1%","R0402",27.570000,-1.000000,0.000000,top
"R3","10kΩ ±1%","R0402",27.570000,-2.050000,0.000000,top
"R4","10kΩ ±1%","R0402",11.060000,-10.180000,180.000000,top
"R5","10kΩ ±1%","R0402",-10.300000,6.300000,-90.000000,top
"SW1","","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",11.600000,-6.720000,-90.000000,top
"SW2","","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6",-11.660000,2.770000,90.000000,top
"U1","","MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL",30.000000,0.000000,0.000000,top
"U2","","WIRELM-SMD_ESP32-S3-WROOM-1",0.000000,0.000000,0.000000,top
